tweet_id,location,date,likes,retweets,text
1246227291283152896,"Pomona, CA",2020-04-04,89921,34665,A day without Hispanics .... this country could never. https://t.co/Z5gvH1zku9
1252675421893615616,"Santa Barbara, CA",2020-04-21,34308,5245,XO face masks are back to raise money and I’ll be matching every dollar that comes in to aid communities afflicted by Covid-19 with 100% of the proceeds going to Music Cares. https://t.co/2CAsWSGa9B https://t.co/P8WpGxccID
1252389634534895625,"California, USA",2020-04-21,0,0,"@ImKingGinger Well aren't you special? My relatives are 6 feet under because of coronavirus, and can't enjoy the lovely weather with you.  Your ignorance is so profound and deadly it makes my head spin."
1251867976417992704,"Arizona, USA",2020-04-19,4,0,@seanhannity If I was to stay home and eat ice cream chocolate instead of doing the job for the people that elected me I would be embarrassed but only that I’m sure my kids would be embarrassed doesn’t make sense how a person can just smile andPeople are suffering
1247006370748141568,"Medford, MA",2020-04-06,0,0,"@MisagaLion @tedpanos Yup, CT. Governor spoke prematurely which is seriously wrong. Test remains positive and we don't know that this ""accidental"" death wasn't complicated by covid-19.

Either way, the baby clearly wasn't alive in the first place as there have been no deaths in Connecticut, remember?"
1250452909994770438,"San Juan, Puerto Rico",2020-04-15,12,9,Paramedics and ambulances protest for better working conditions in Puerto Rico today. https://t.co/ThFz12lnDz
1251917498351583233,"Alamo Springs, TX",2020-04-19,410,92,Why Ted Cruz and Rand Paul didn't have any symptoms ... https://t.co/adr0yHwfOv
1248469189414670336,"Ocala, FL",2020-04-10,16516,7072,"Did you know:

Hospital workers across America are being laid off or furloughed

Including 2,500 workers in Michigan—over 10% of 24,000 employees at Trinity Health

Hospitals were just given 100 BILLION in stimulus

All to let go of workers in the middle of a pandemic?

🤔"
1254680379509932038,"New Jersey, USA",2020-04-27,73859,37482,"to mfs out in the streets protesting stay at home orders, read this https://t.co/7tUIU03C3u"
1247596090313990144,"Phoenix, AZ",2020-04-07,1,0,"@DeniseMaerker @AtandoCabos De que pais hablan??? porque el pais que dejo Calderon, PeñaNieto y compañia no es del que hablan. Otra vez, me repito, si los paises europeos no pueden satisfacer esta emergencia COVID-19; pretenden que se haga en Mexico despues del saqueo que dejaron."
1251935051237019649,"Dallas, TX",2020-04-19,8140,5880,"The United States just surpassed 609,000 confirmed coronavirus cases—by far the most in the world.

Trump’s chaos has a price. https://t.co/Ohp7VUmVTv"
1246845900988833794,"Baltimore, MD",2020-04-05,17892,5760,"This story is wild. This couple is trapped on their honeymoon due to coronavirus, the last two remaining guests at a resort in the Maldives, and the whole staff is stuck there serving the pair of them indefinitely https://t.co/qvmIWWjG5w"
1253433101230866434,"Virginia, USA",2020-04-23,1359,1293,"Feds get 1 million N95 masks bound for Miami-Dade County - 

Feds intercepted the plane &amp; took the masks. 

FEMA has no comment. Trump will say he knows nothing. Why are they doing this? #TrumpLiesPeopleDie &amp; the beat goes on.

What is the breaking point?  https://t.co/hhfMZ5PMtl"
1253973861093314560,"Roodhouse, Illinois",2020-04-25,20561,3214,How does that work six feet away? https://t.co/5wFHKtBzzJ
1249950482895974400,"Boston, MA",2020-04-14,2281,334,"“Will it be weird to see sketches without big sets and costumes? Sure. But will it make you laugh? Eh, you know, it's SNL. There will be some good stuff, maybe one or two stinkers, you know the drill.” — @tomhanks #SNLAtHome https://t.co/BWePYvX8QZ"
