location,likes,text,date
"Pomona, CA",12811,RT @garyhuerta09: A day without Hispanics .... this country could never.,10/25/2013
"Santa Barbara, CA",11102,RT @theweeknd: XO face masks are back to raise money and I’ll be matching every dollar that comes in to aid communities afflicted by Covid-…,6/19/2013
"California, USA",19926,"@ImKingGinger Well aren't you special? My relatives are 6 feet under because of coronavirus, and can't enjoy the lo… https://t.co/P2s3PpjctC",1/22/2009
"Arizona, USA",38188,@seanhannity If I was to stay home and eat ice cream chocolate instead of doing the job for the people that elected… https://t.co/c8Ojx5Q64Z,10/17/2012
"Medford, MA",7446,"@MisagaLion @tedpanos Yup, CT. Governor spoke prematurely which is seriously wrong. Test remains positive and we do… https://t.co/wClgfhbN85",2/27/2012
"Mexicali, Baja California",4,@ligaona Cálmate coronavirus que se te nota más el nopal que a mi 🤷🏻‍♀️,7/3/2010
"San Juan, Puerto Rico",100687,RT @Abner_Y_Dennis: Paramedics and ambulances protest for better working conditions in Puerto Rico today.,5/12/2016
"Alamo Springs, TX",282296,Why Ted Cruz and Rand Paul didn't have any symptoms ... https://t.co/adr0yHwfOv,4/11/2015
"Idaho, Spokane & Philippines",2833,RT @RitaPanahi: Helps explain why the coronavirus outbreak isn’t seeing Beijing or Shanghai shut down. China protected itself while allowin…,12/3/2008
"Ocala, FL",3888,"RT @charliekirk11: Did you know:

Hospital workers across America are being laid off or furloughed

Including 2,500 workers in Michigan—ove…",5/16/2018
"New Jersey, USA",39289,"RT @marlonjayy: to mfs out in the streets protesting stay at home orders, read this https://t.co/7tUIU03C3u",9/30/2013
"Phoenix, AZ",55,"@DeniseMaerker @AtandoCabos De que pais hablan??? porque el pais que dejo Calderon, PeñaNieto y compañia no es del… https://t.co/VLlqxhw5kt",2/15/2012
"Dallas, TX",28248,"RT @CAPAction: The United States just surpassed 609,000 confirmed coronavirus cases—by far the most in the world.

Trump’s chaos has a pric…",1/10/2013
"Baltimore, MD",84108,"RT @LEBassett: This story is wild. This couple is trapped on their honeymoon due to coronavirus, the last two remaining guests at a resort…",10/9/2012
"Virginia, USA",47283,"RT @ResisterSis20: Feds get 1 million N95 masks bound for Miami-Dade County - 

Feds intercepted the plane &amp; took the masks. 

FEMA has no…",3/30/2012
"Hollywood, CA USA",33772,Duckie is right! https://t.co/4oeCMXYAAN,2/14/2010
"Roodhouse, Illinois",582,RT @tedcruz: How does that work six feet away?,8/24/2017
"Boston, MA",40036,"RT @mattwilstein: “Will it be weird to see sketches without big sets and costumes? Sure. But will it make you laugh? Eh, you know, it's SNL…",11/24/2010
"St Louis, MO",72827,👇🏾👇🏾👇🏾👇🏾 https://t.co/qhrX0Zj8aL,4/24/2007
"Los Angeles, CA",39086,"RT @CNN: The current tests for coronavirus infection and post-recovery immunity are both imperfect, a top scientific advisory panel told th…",9/22/2011
"CABA, Argentina",3684,RT @alferdez: En el Día del Investigador Científico quiero destacar el trabajo de quienes hacen que la ciencia argentina sea reconocida en…,1/2/2013
"Pennsylvania, USA",377599,RT @realTuckFrumper: Head of Coronavirus Vaccine Research Says He Was Demoted for Questioning Drug Favored by Trump https://t.co/8pHXBtrtB3,2/9/2009
"Ardmore, OK",2574,Hey baby https://t.co/pCqHbgsI6A,1/24/2017
"New York, NY",18239,"RT @GeorgeTakei: Sorry. This isn’t our “Pearl Harbor” moment. That was a surprise, dastardly attack by an enemy nation. This is our “Cherno…",9/21/2011
"New York, NY",809,"RT @UnitedHospFund: Data from @aecfkidscount shows possible 2017 peak of children entering #fostercare due to opioid epidemic, but many que…",4/21/2010
"Astoria, NY",26495,RT @adamjohnsonNYC: weird to write a column about feeling like one has to be productive during this crisis &amp; focus entirely on bourgeois me…,12/16/2009
"New York, USA",736473,RT @ShameenYakubu: Yeah cuz silencing and banning every video that is skeptical of 5G is really going to reassure people that there's no is…,3/31/2013
"Alaska, USA",876,Hey Gates this one is for you. https://t.co/PWKblx0Y2p https://t.co/3wNYBbgtYD,1/20/2020
"New York, NY",1160,RT @SethAbramson: DISINFORMATION ALERT: Today Trump is spreading the dangerous disinformation that new daily coronavirus infections in the…,3/14/2008
"Roanoke, VA",60518,"RT @RBReich: The media failed to mention it, but the GOP snuck a bailout for the private jet industry into the coronavirus stimulus package…",12/4/2014
"Los Angeles, CA",9523,"RT @jimmycthatsme: Lockdown creativity from South Africa.
📹 u/Cactusomething https://t.co/jdSuTQ7XRe",4/7/2019
"St. Louis, Missouri",1334,RT @amylutz4: “The isolation that comes with this particular virus is especially devastating for women living in violent homes.” #NotAloneS…,10/14/2009
"Baton Rouge, LA",58,Facebook has made an interesting map showing data collected about where cases of corona virus have been found and w… https://t.co/dDiTePqQRD,6/18/2018
"Mount Pleasant, SC",33090,RT @DrewFranklinKSR: https://t.co/BkvDEXJGjM,3/6/2011
"chino hills, california",17687,RT @funder: I have no words for what Trump did today. It’s beyond treason. Beyond evil or demented. It was simply Trump. But rest assured w…,1/31/2013
"Green Cove Springs, FL",19050,Good start accountability is a great equalizer! https://t.co/6s3plIWja9,3/1/2009
"Dallas, TX",11347,RT @EmpressSapph: Here is my Granddad leaving the hospital after 2 weeks! He had tested positive for COVID-19 then ended up having Pneumoni…,6/9/2015
"Fort Worth, TX",21751,COVID-19🤷🏻‍♀️ https://t.co/PjAbzrutDM,5/28/2010
"Tulsa, OK",1866,Memorandum on Providing Continued Federal Support for Governors' Use of the National Guard to Respond to COVID-19 a… https://t.co/mCBkXHVQ97,10/20/2008
"Tewa Land, Santa Fe, NM",3613,"This, plus the prospect of 30% (or quite likely higher) unemployment, is why Sanders has to stay in. https://t.co/VvUD93ucob",4/18/2009
"Aurora, CO and Houston, TX",279871,RT @AndrewBatesNC: Our economy's in freefall and we're precipitously losing millions of jobs because Trump took China's word and failed us…,11/17/2013
"Madison, Wi USA",26868,RT @JustSumGuy176: IM NOT FUCKING KIDDING YOU WHEN I TELL YOU......I TOOK CARE OF A PATIENT WHO DRANK DILUTED BLEACH.....ITS NOT A FUCKING…,9/22/2009
"Stolen Minsi land in NY, USA",84110,"@MichelleLescau1 Well his follow-up in the video is ""We should be allowed to make our own choice,"" or something to… https://t.co/t4pOaKUZry",2/12/2009
"Front Royal, VA",509483,"RT @OversightDems: Trump’s assault on IGs dismantles the ability to root out waste, fraud &amp; abuse. It's a disservice to American families w…",6/9/2013
"New York, New York",68839,"RT @arotherham: Here's the article if you haven't seen:

https://t.co/jty9gJq6qy",1/3/2009
"Staten Island, NY",489,Go get ‘em Liz! https://t.co/m1yFcQiO03,9/5/2012
"Southern California, USA",43409,RT @MarkAmesExiled: World’s only Superkleptocracy,8/9/2011
"Ensenada, Baja California",176281,"RT @macariomx: No entiendo la publicidad de estos vuelos. Demuestran que no estábamos preparados, y que el material es insuficiente... muy…",8/16/2017
"San Diego, CA",104,Making Remote Meetings Successful #zoom #covid19 #success https://t.co/paMmg0TF1T,4/13/2009
"Puyallup, WA",74684,"RT @CREWcrew: Trump's estimated net worth 1 month ago: $3.1 billion

Trump's estimated net worth this month: $2.1 billion
https://t.co/28cR…",2/27/2011
"Little Elm, TX",53268,"RT @ChrisMurphyCT: The federal government isn’t bailing out the states by helping to pay for pandemic expenses. 

The states are bailing ou…",9/3/2011
"Land o’the free-Cleveland,OH",113362,RT @Your_high_dose: 👏👍🙏,8/11/2012
"Rural Oregon, US",25437,RT @RossFloate: I know exactly who needs to hear this and “I don’t like the candidates so I’m not voting at all” is morally indistinguishab…,8/24/2008
"Knoxville, TN",965,What Tennessee high school coaches are permitted to do with teams during coronavirus pandemic https://t.co/0DaAaE2jqv,3/12/2007
"San Bernardino, CA",19227,RT @RiseNowUS: COVID-19 movement restrictions have spiked sexual violence across the world. @risenowus is launching “Survivor Safe Haven”:…,9/5/2016
"Bloomington, IN",30678,"RT @the_typical_lib: In the last week:

Governors everywhere have extended stay-at-home orders, curfews, pushed gun control, and oversteppe…",12/4/2012
