tweet_id,location,date,likes,retweets,text
1298433064687763457,"Brooklyn, NY",2020-08-26,1458,861,Wearing a mask in public is an important way to limit the spread of #COVID19. A new study shows just how much of a difference it can make. #NIH https://t.co/nDe5N56YwO
1294720321392541696,"Sonoma, CA",2020-08-15,12739,4537,"Canada shares a 5500 mile border with the US. 5 people died of COVID in Canada yesterday, 1120 Americans died. Who you elect matters. Vote Republicans out. https://t.co/SU0YvShnAx"
1296797780179144704,"Oakland, NJ",2020-08-21,310,58,"The Braves and Nats got rained out yesterday. So 30 teams didn't play. The streak of days without all 30 teams playing actually continues. This will be the 25th consecutive day without a full slate of games.

Also, @timbhealey was on the Mets having two positive COVID-19 cases."
1296941201111879692,"Fort Wayne, IN",2020-08-21,2,0,"Purdue is kicking out anyone who dont go by social distancing policies 
Wearing masks etc 
This means even at parties
Out of campus and out of student housing"
1289823031599087616,"Los Angeles, CA",2020-08-02,1979,695,"The day camp my son went to was limited to 60 kids per day, split into 2 year age groups with 6 kids per counselor/room, did temp checks and hand sanitizing before kids even got out of their car, and required staff and campers to wear masks.

He still got #COVID19."
1298156446111195136,"Hilo, HI",2020-08-25,1,0,Pandemic Shuts Down Waiānuenue Traffic Pattern https://t.co/vhWsnVrLbp
1299351780220907528,"Philadelphia, PA",2020-08-28,0,0,"American Patriots 🇺🇸 will be VOTING IN-PERSON in November because we care for the future of America. #AmericaFirst  #TRUMP2020 ❤️👍🇺🇸

@POTUS @OANN https://t.co/6Z0PgWnCza"
1298725790868295680,"Denver, CO",2020-08-26,11,10,"If you're a small business in Colorado and are still in need of financial support in response to COVID-19, apply on August 31st for the Gap Fund. You can access up to $35,00 through a mix of grants &amp; loans. Go to https://t.co/tLH8gkn5M6 to learn more! #FillTheGapCO https://t.co/ktdod03D15"
1293676807175262211,"Orono, Minnesota",2020-08-12,1,1,"They also tried again to take away emergency powers of the Governor, even though he has a 65% approval rating from Minnesotans.
After seeing More than twice the amount of Dem votes than GOP yesterday, they’re scared &amp; desperate. 
These are ploys to mess things up; stay relevant. https://t.co/bfp7W4BRmC"
1291542037318205443,"Pennsylvania, USA",2020-08-07,10495,3270,"Breaking News

Initial jobless claims declined to 1,186,000 down 249,000 and well below consensus of 1.42 million.   

Continuing Jobless Claims declined to 16,107,000 down 844,000! 
 
Pandemic Unemployment Assistance swooned to 655,707 from 908,800.  

We. Are. Going. To. Win"
1300221075972714496,"San Diego, CA",2020-08-30,0,0,"@jeremiahrjones I believe the COVID 19 virus is real. I don't believe however, with the quietly updated @cdc death numbers that it should have ever been at the level of a pandemic.  Updated Covid numbers reflect only SIX PERCENT of all the 153,504 deaths recorded actually died from Covid. https://t.co/q1jfjgBwIi"
1300271456505475072,"Austin, TX",2020-08-31,507577,55816,So Chadwick Boseman and the Black Panther character was my son's favorite by a mile....so this morning when we discussed it he said 'How did he die? Did the police do it? Did he have coronavirus?' Damn man....he's 8 😔
1294649031453478913,"Northeast, USA",2020-08-15,36086,18855,"New covid-19 deaths, yesterday:

France: 18
Australia: 14
Spain: 12
UK: 11
Japan: 10
Germany: 8
Canada: 5

USA: 1,120"
